route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
53639,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
53424,1,10,VAN HORNE,,3,,804000,FFFFFF
53425,1,100,FLEMINGDON PARK,,3,,FF00FF,FFFFFF
53426,1,101,DOWNSVIEW PARK,,3,,00FF00,FFFFFF
53427,1,102,MARKHAM RD.,,3,,00FF00,FFFFFF
53428,1,104,FAYWOOD,,3,,800080,FFFFFF
53429,1,105,DUFFERIN NORTH,,3,,804000,FFFFFF
53430,1,106,SENTINEL,,3,,00FFFF,FFFFFF
53431,1,107,ST REGIS,,3,,FF00FF,FFFFFF
53432,1,108,DRIFTWOOD,,3,,800080,FFFFFF
53433,1,109,RANEE,,3,,008000,FFFFFF
53434,1,11,BAYVIEW,,3,,FF0000,FFFFFF
53435,1,110,ISLINGTON SOUTH,,3,,804000,FFFFFF
53436,1,111,EAST MALL,,3,,804000,FFFFFF
53437,1,112,WEST MALL,,3,,800080,FFFFFF
53438,1,113,DANFORTH ROAD,,3,,808000,FFFFFF
53439,1,115,SILVER HILLS,,3,,008000,FFFFFF
53440,1,116,MORNINGSIDE,,3,,804000,FFFFFF
53441,1,117,ALNESS-CHESSWOOD,,3,,008000,FFFFFF
53442,1,118,THISTLE DOWN,,3,,800080,FFFFFF
53443,1,119,TORBARRIE,,3,,800080,FFFFFF
53444,1,12,KINGSTON ROAD,,3,,008000,FFFFFF
53445,1,120,CALVINGTON,,3,,FF00FF,FFFFFF
53446,1,121,FORT YORK - ESPLANADE,,3,,FF00FF,FFFFFF
53447,1,122,GRAYDON HALL,,3,,FF00FF,FFFFFF
53448,1,123,SHORNCLIFFE,,3,,008000,FFFFFF
53449,1,124,SUNNYBROOK,,3,,00FFFF,FFFFFF
53450,1,125,DREWRY,,3,,804000,FFFFFF
53451,1,126,CHRISTIE,,3,,000080,FFFFFF
53452,1,127,DAVENPORT,,3,,00FFFF,FFFFFF
53453,1,129,MCCOWAN NORTH,,3,,00FF00,FFFFFF
53454,1,130,MIDDLEFIELD,,3,,808000,FFFFFF
53455,1,131,NUGGET,,3,,800080,FFFFFF
53456,1,132,MILNER,,3,,00FFFF,FFFFFF
53457,1,133,NEILSON,,3,,804000,FFFFFF
53458,1,134,PROGRESS,,3,,808000,FFFFFF
53459,1,135,GERRARD,,3,,00FFFF,FFFFFF
53460,1,14,GLENCAIRN,,3,,00FFFF,FFFFFF
53461,1,141,DOWNTOWN/MT.PLEASANT EXPRESS,,3,,FF8000,FFFFFF
53462,1,142,DOWNTOWN/AVENUE RD. EXPRESS,,3,,00FF00,FFFFFF
53463,1,143,DOWNTOWN\BEACH EXPRESS,,3,,FF00FF,FFFFFF
53464,1,144,DOWNTOWN/DON VALLEY EXPRESS,,3,,804000,FFFFFF
53465,1,145,DOWNTOWN/HUMBER BAY EXPRESS,,3,,008080,FFFFFF
53466,1,15,EVANS,,3,,808000,FFFFFF
53467,1,16,McCOWAN,,3,,FF00FF,FFFFFF
53468,1,160,BATHURST NORTH,,3,,008000,FFFFFF
53469,1,161,ROGERS ROAD,,3,,808000,FFFFFF
53470,1,162,LAWRENCE-DONWAY,,3,,804000,FFFFFF
53471,1,165,WESTON RD. NORTH,,3,,00FFFF,FFFFFF
53472,1,167,PHARMACY NORTH,,3,,000080,FFFFFF
53473,1,168,SYMINGTON,,3,,008000,FFFFFF
53474,1,169,HUNTINGWOOD,,3,,FF8000,FFFFFF
53475,1,17,BIRCHMOUNT,,3,,808000,FFFFFF
53476,1,171,MOUNT DENNIS,,3,,FF8000,FFFFFF
53477,1,172,CHERRY STREET,,3,,008000,FFFFFF
53478,1,185,DON MILLS ROCKET,,3,,008000,FFFFFF
53479,1,186,WILSON ROCKET,,3,,800080,FFFFFF
53480,1,188,KIPLING SOUTH ROCKET,,3,,008080,FFFFFF
53481,1,190,SCARB.CENTRE ROCKET,,3,,800080,FFFFFF
53482,1,191,HIGHWAY 27 ROCKET,,3,,00FFFF,FFFFFF
53483,1,192,AIRPORT ROCKET,,3,,FF0000,FFFFFF
53484,1,193,EXHIBITION ROCKET,,3,,400000,FFFFFF
53485,1,195,JANE ROCKET,,3,,FF0000,FFFFFF
53486,1,196,YORK UNIVERSITY ROCKET,,3,,0000FF,FFFFFF
53487,1,198,U of T SCARBOROUGH ROCKET,,3,,800000,FFFFFF
53488,1,199,FINCH ROCKET,,3,,FF8000,FFFFFF
53640,1,2,LINE 2 (BLOOR - DANFORTH),,1,,008000,FFFFFF
53489,1,20,CLIFFSIDE,,3,,FF8000,FFFFFF
53490,1,21,BRIMLEY,,3,,808000,FFFFFF
53491,1,22,COXWELL,,3,,804000,FFFFFF
53492,1,224,VICTORIA PARK NORTH,,3,,00FF00,FFFFFF
53493,1,23,DAWES,,3,,FF00FF,FFFFFF
53494,1,24,VICTORIA PARK,,3,,00FF00,FFFFFF
53495,1,25,DON MILLS,,3,,808000,FFFFFF
53496,1,26,DUPONT,,3,,00FF00,FFFFFF
53497,1,28,BAYVIEW SOUTH,,3,,008000,FFFFFF
53498,1,29,DUFFERIN,,3,,FF0000,FFFFFF
53641,1,3,LINE 3 (SCARBOROUGH),,1,,108BEF,FFFFFF
53499,1,30,LAMBTON,,3,,0000FF,FFFFFF
